probeID	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT1G01150	-0.148881491	8.205734238	-1.235593478	0.220120607	0.599610433	-5.631566136
AT1G01260	0.118782111	10.28269583	0.7875461	0.433221665	0.777265508	-6.071362517
AT1G01490	-0.171195705	12.6437134	-1.21322858	0.22850867	0.609688373	-5.657999232
AT1G01560	0.289961103	11.22113968	1.436328441	0.154694529	0.512637472	-5.373636799
AT1G02220	-0.051930192	9.649813342	-0.213789305	0.831239452	0.958081902	-6.352673837
AT1G02360	1.736578335	10.42706126	4.908925208	4.56E-06	0.000435569	3.977140746
AT1G02450	1.27888385	10.27494243	3.040603769	0.003164856	0.050082011	-2.073593926
AT1G02750	0.052788401	9.570643867	0.453406551	0.651447745	0.893518407	-6.274191805
AT1G02810	0.022310226	8.58641769	0.18030467	0.857356062	0.964535628	-6.359158877
AT1G02850	-0.004759619	9.342702089	-0.030376275	0.975840416	0.993286713	-6.374686241
AT1G02890	0.175524804	9.054368261	1.764956503	0.081276055	0.372479802	-4.872575278
AT1G03370	0.187680401	10.69132431	1.415308585	0.160746191	0.522327078	-5.402378593
AT1G03380	-0.373979962	10.28350394	-2.050468394	0.043497152	0.263333516	-4.360383712
AT1G03740	0.364784665	11.52509995	1.283148951	0.203036917	0.578878254	-5.573817248
AT1G03910	0.164147535	11.20759097	1.330846925	0.186910084	0.558587015	-5.513794715
AT1G03970	-0.182141137	9.548054142	-1.616085242	0.109898163	0.435180628	-5.111509533
AT1G04370	0.195377097	8.067051629	1.300533096	0.197043703	0.5716312	-5.552184396
AT1G04710	-0.219243622	10.13304947	-1.749212798	0.083977502	0.379863516	-4.898767504
AT1G04970	-0.353954481	9.807907988	-2.297236265	0.024141799	0.187731263	-3.862382497
AT1G05080	-0.125439484	8.471848432	-0.379656234	0.705177277	0.915643459	-6.304333942
AT1G05610	-3.54E-05	8.144487023	-0.00033	0.999737496	0.999993493	-6.375139863
AT1G05840	-0.144495203	9.511568925	-0.869218699	0.387252225	0.747438553	-6.005399098
AT1G06160	-0.11175501	8.002524999	-0.849945446	0.397818127	0.755504461	-6.021541331
AT1G06290	-0.231424512	12.26444504	-0.856988132	0.393936861	0.752586696	-6.015683957
AT1G07040	-0.539519288	11.21149193	-2.503348412	0.014276836	0.135178855	-3.408633606
AT1G07230	-0.111692892	12.07213759	-0.654108849	0.514863031	0.823730971	-6.165331857
AT1G07530	-0.195331428	11.19132679	-1.36860934	0.17484102	0.541765364	-5.464789318
AT1G07630	0.705839522	11.12562202	3.85681954	0.000226986	0.007579071	0.331777768
AT1G07880	0.182656849	9.641583085	2.008966361	0.047814742	0.278772038	-4.439162315
AT1G08760	-0.193569861	10.52822245	-1.327860288	0.187890738	0.559774202	-5.517614618
AT1G08985	0.108057281	8.143415227	0.906919454	0.367093788	0.732368935	-5.972796725
AT1G09415	0.009922534	9.356940994	0.057247249	0.954486827	0.988583386	-6.373528605
AT1G10070	0.029696328	9.133613104	0.112222016	0.91092029	0.978603398	-6.368948341
AT1G10170	0.006324629	9.472812176	0.030834949	0.975475728	0.993286713	-6.374672437
AT1G10210	0.08496008	10.15524908	0.721609867	0.472576932	0.801519164	-6.119942328
AT1G10320	0.145481281	9.190663395	0.887850248	0.377205451	0.740875265	-5.989456758
AT1G10360	-0.073986859	8.434364877	-0.503954257	0.615638229	0.878237468	-6.250466457
AT1G11340	0.189751183	8.933047084	1.464633767	0.146825667	0.499189986	-5.334297706
AT1G12950	-0.122911249	8.594122136	-0.979066986	0.33041253	0.703631683	-5.906630293
AT1G13195	-0.084215812	9.911202838	-0.808348213	0.421217682	0.768163145	-6.055168597
AT1G13210	0.266091135	13.32474992	1.071558267	0.287046799	0.667690098	-5.814587007
AT1G13260	-0.088232795	9.940745265	-0.487946204	0.626883734	0.882755398	-6.258249586
AT1G13280	-0.171880037	11.82019821	-0.535069203	0.594042983	0.866013163	-6.234624393
AT1G13470	0.275486578	10.0576864	0.917341072	0.36164099	0.728445499	-5.963545194
AT1G13960	-0.163245698	11.64204738	-1.268068426	0.208344561	0.585219977	-5.592357131
AT1G14370	0.399524321	10.67543478	2.968335238	0.003919251	0.058213697	-2.265428147
AT1G14540	1.168616456	9.748085388	2.594821562	0.01120031	0.115590282	-3.196581358
AT1G14780	-0.235341182	9.99666851	-1.29892562	0.197592288	0.572179915	-5.554196456
AT1G15380	-0.059263562	10.61200777	-0.13436014	0.893445418	0.973656096	-6.36626486
AT1G15600	0.033072303	8.160622401	0.32991534	0.742301146	0.929631075	-6.321660165
AT1G15740	-0.601248916	11.60117353	-2.886365254	0.004974347	0.068655719	-2.478528224
AT1G16090	0.189966248	11.36384891	1.271749094	0.207039782	0.583469113	-5.587851562
AT1G16850	-0.87666749	12.45286974	-2.084322115	0.040227763	0.252128972	-4.295050093
AT1G16970	-0.018467101	8.580430672	-0.148402444	0.88238772	0.97127471	-6.36431308
AT1G17180	-0.063508365	10.52108062	-0.451149555	0.653066761	0.894459697	-6.275193044
AT1G17190	-0.204821376	8.339450422	-1.434440327	0.155230813	0.513852397	-5.376234994
AT1G17250	-0.065141548	8.595863408	-0.495400031	0.621636286	0.880954562	-6.254656592
