nodeID	someAttribute	someValue	someValueForCutOff
ADVISOR #1	3	1	1
AIDE	3	1	1
ANCHORMAN	1	1	0
ANGLE IN JEEP	3	1	1
ASSISTANT	1	1	0
BARNES	3	1	1
BARTENDER	1	1	0
BLAIR	3	1	1
BOY	3	1	1
BREEN	1	1	0
BRYANT	2	1	0
BULL	3	1	1
CHANCE	3	1	1
CLERK	1	1	0
CONNOR	3	1	1
COP	1	1	0
COUNTERMAN	1	1	0
COW	3	1	1
CUSTOMER	1	1	0
DANNY	2	1	0
DISPATCHER	1	1	0
DOCTOR	3	1	1
DOUGLAS	2	1	0
DRIVER	12	1	0
DYSON	2	1	0
ENGINEER	3	1	1
FIRST GIRL	2	1	0
FIRST JOCK	2	1	0
FIRST KID	2	1	0
GIBBONS	2	1	0
GINGER	1	1	0
GIRL	3	1	1
HEAD	3	1	1
JANE	3	1	1
JANELLE	2	1	0
JEREMY	3	1	1
JOHN	23	1	1
KATE	3	1	1
KID	3	1	1
KYLE	3	1	1
LEADER	12	1	0
LISA	3	1	1
LITTLE GIRL	1	1	0
MANAGER	1	1	0
MARCO	1	1	0
MARCUS	3	1	1
MATT	1	1	0
MILES	2	1	0
MORRISON	3	1	1
MOSSBERG	2	1	0
MR MILLER	1	1	0
NANCY	13	1	1
NAVAL OFFICER	3	1	1
OFFICER X	2	1	0
PARTNER	1	1	0
PHYSICIST	3	1	1
PIG	3	1	1
PRIEST	3	1	1
RADIO VOICE	3	1	1
REESE	12	1	0
REPORTER	1	1	0
SALCEDA	2	1	0
SARAH	12	1	0
SARAH'S MOM	1	1	0
SECOND PUNK	1	1	0
SERENA	3	1	1
SERGEANT	1	1	0
SILBERMAN	12	1	0
STAR	3	1	1
TARISSA	2	1	0
TERMINATOR	12	1	0
TIM	2	1	0
TODD	2	1	0
TRAXLER	1	1	0
TV ANCHORWOMAN	1	1	0
VIDEO SARAH	2	1	0
VIDEO SILBERMAN	2	1	0
VUKOVICH	1	1	0
WAITRESS	1	1	0
WOMAN	12	1	0
