geneID1	geneID2	reactionType	clusterID_geneID1	clusterID_geneID2	superClusterID_geneID1	superClusterID_geneID2	clusterOrigin_geneID1	clusterOrigin_geneID2	matchingClusters	networkSimplifiedNodeDegree_geneID1	networkSimplifiedNodeDegree_geneID2	superClusterSimplifiedNodeDegree_geneID1	superClusterSimplifiedNodeDegree_geneID2	clusterSimplifiedNodeDegree_geneID1	clusterSimplifiedNodeDegree_geneID2	exists
R-gene	ORTHO04D000341	activation	1	1	1	1	normal_1_1	normal_1_276	TRUE	1	64	1	43	1	43	1
ORTHO04D000780	ORTHO04D003585	unk_TF	1	1	1	1	normal_1_10	normal_1_103	TRUE	13	7	14	3	14	3	1
ORTHO04D000780	ORTHO04D001000	unk_TF	1	1	1	1	normal_1_10	normal_1_7	TRUE	13	6	14	5	14	5	1
ORTHO04D000780	ORTHO04D000809	unk_TF	1	1	1	1	normal_1_10	normal_1_253	TRUE	13	27	14	21	14	21	1
ORTHO04D000780	ORTHO04D000686	unk_TF	1	1	1	1	normal_1_10	normal_1_55	TRUE	13	9	14	8	14	8	1
ORTHO04D000780	ORTHO04D000250	unk_TF	1	3	1	2	normal_1_10	normal_2_29	FALSE	13	46	14	27	14	27	1
ORTHO04D000780	ORTHO04D000182	unk_TF	1	1	1	1	normal_1_10	normal_1_289	TRUE	13	27	14	18	14	18	1
ORTHO04D000780	ORTHO04D000148	unk_TF	1	3	1	2	normal_1_10	normal_2_24	FALSE	13	36	14	16	14	16	1
ORTHO04D000780	ORTHO04D000121	unk_TF	1	1	1	1	normal_1_10	normal_1_301	TRUE	13	22	14	20	14	20	1
ORTHO04D000780	ORTHO04D000060	unk_TF	1	1	1	1	normal_1_10	normal_1_246	TRUE	13	37	14	25	14	25	1
ORTHO04D000780	ORTHO04D000054	unk_TF	1	1	1	1	normal_1_10	normal_1_267	TRUE	13	21	14	13	14	13	1
ORTHO04D009132	ORTHO04D009237	unk_TF	1	1	1	1	normal_1_11	normal_1_61	TRUE	5	11	8	16	8	16	1
ORTHO04D009132	ORTHO04D004031	unk_TF	1	1	1	1	normal_1_11	normal_1_70	TRUE	5	15	8	18	8	18	1
ORTHO04D009132	ORTHO04D000131	unk_TF	1	1	1	1	normal_1_11	normal_1_190	TRUE	5	23	8	16	8	16	1
ORTHO04D009132	ORTHO04D000066	unk_TF	1	1	1	1	normal_1_11	normal_1_244	TRUE	5	43	8	43	8	43	1
ORTHO04D009132	ORTHO04D000055	unk_TF	1	1	1	1	normal_1_11	normal_1_254	TRUE	5	22	8	19	8	19	1
ORTHO04D004280	ORTHO04D003207	unk_TF	2	2	4	4	normal_4_6	normal_4_86	TRUE	17	16	16	10	16	10	1
ORTHO04D004280	ORTHO04D003112	unk_TF	2	2	4	4	normal_4_6	normal_4_9	TRUE	17	5	16	4	16	4	1
ORTHO04D004280	ORTHO04D002928	unk_TF	2	1	4	1	normal_4_6	normal_1_74	FALSE	17	5	16	2	16	2	1
ORTHO04D004280	ORTHO04D002208	unk_TF	2	2	4	4	normal_4_6	normal_4_138	TRUE	17	20	16	12	16	12	1
ORTHO04D004280	ORTHO04D002024	unk_TF	2	2	4	4	normal_4_6	normal_4_187	TRUE	17	21	16	13	16	13	1
ORTHO04D004280	ORTHO04D001842	unk_TF	2	2	4	4	normal_4_6	normal_4_114	TRUE	17	12	16	9	16	9	1
ORTHO04D004280	ORTHO04D000932	unk_TF	2	2	4	4	normal_4_6	normal_4_113	TRUE	17	15	16	12	16	12	1
ORTHO04D004280	ORTHO04D000696	unk_TF	2	2	4	4	normal_4_6	normal_4_120	TRUE	17	14	16	10	16	10	1
ORTHO04D004280	ORTHO04D000599	unk_TF	2	2	4	4	normal_4_6	normal_4_158	TRUE	17	22	16	14	16	14	1
ORTHO04D004280	ORTHO04D000448	unk_TF	2	2	4	4	normal_4_6	normal_4_137	TRUE	17	18	16	10	16	10	1
ORTHO04D004280	ORTHO04D000417	unk_TF	2	2	4	4	normal_4_6	normal_4_66	TRUE	17	17	16	12	16	12	1
ORTHO04D004280	ORTHO04D000377	unk_TF	2	2	4	4	normal_4_6	normal_4_132	TRUE	17	19	16	13	16	13	1
ORTHO04D004280	ORTHO04D000302	unk_TF	2	2	4	4	normal_4_6	normal_4_56	TRUE	17	17	16	16	16	16	1
ORTHO04D004280	ORTHO04D000223	unk_TF	2	2	4	4	normal_4_6	normal_4_57	TRUE	17	11	16	11	16	11	1
ORTHO04D004280	ORTHO04D000063	unk_TF	2	2	4	4	normal_4_6	normal_4_164	TRUE	17	20	16	14	16	14	1
ORTHO04D004280	ORTHO04D000044	unk_TF	2	3	4	2	normal_4_6	normal_2_82	FALSE	17	53	16	32	16	32	1
ORTHO04D004280	ORTHO04D000025	unk_TF	2	2	4	4	normal_4_6	normal_4_184	TRUE	17	374	16	196	16	196	1
ORTHO04D004120	ORTHO04D004768	unk_TF	2	3	4	2	normal_4_7	normal_2_94	FALSE	8	39	5	38	5	38	1
ORTHO04D004120	ORTHO04D001237	unk_TF	2	2	4	4	normal_4_7	normal_4_50	TRUE	8	15	5	11	5	11	1
ORTHO04D004120	ORTHO04D000753	unk_TF	2	2	4	4	normal_4_7	normal_4_119	TRUE	8	9	5	5	5	5	1
ORTHO04D004120	ORTHO04D000515	unk_TF	2	2	4	4	normal_4_7	normal_4_160	TRUE	8	38	5	28	5	28	1
ORTHO04D004120	ORTHO04D000424	unk_TF	2	1	4	1	normal_4_7	normal_1_117	FALSE	8	8	5	6	5	6	1
ORTHO04D002308	ORTHO04D001031	unk_TF	1	1	1	1	normal_1_18	normal_1_164	TRUE	2	14	1	7	1	7	1
ORTHO04D001929	ORTHO04D001770	unk_TF	1	1	1	1	normal_1_20	normal_1_176	TRUE	7	11	3	8	3	8	1
ORTHO04D001929	ORTHO04D000213	unk_TF	1	3	1	2	normal_1_20	normal_2_75	FALSE	7	58	3	34	3	34	1
ORTHO04D001929	ORTHO04D000162	unk_TF	1	2	1	4	normal_1_20	normal_4_152	FALSE	7	20	3	11	3	11	1
ORTHO04D001929	ORTHO04D000053	unk_TF	1	2	1	4	normal_1_20	normal_4_168	FALSE	7	23	3	13	3	13	1
ORTHO04D000901	ORTHO04D003774	unk_TF	1	1	1	1	normal_1_42	normal_1_2	TRUE	22	1	18	1	18	1	1
ORTHO04D000901	ORTHO04D003456	unk_TF	1	1	1	1	normal_1_42	normal_1_72	TRUE	22	3	18	2	18	2	1
ORTHO04D000901	ORTHO04D002332	unk_TF	1	1	1	1	normal_1_42	normal_1_77	TRUE	22	2	18	2	18	2	1
ORTHO04D000901	ORTHO04D001537	unk_TF	1	1	1	1	normal_1_42	normal_1_39	TRUE	22	2	18	1	18	1	1
ORTHO04D000901	ORTHO04D001116	unk_TF	1	1	1	1	normal_1_42	normal_1_9	TRUE	22	5	18	5	18	5	1
ORTHO04D000901	ORTHO04D000942	unk_TF	1	1	1	1	normal_1_42	normal_1_41	TRUE	22	8	18	5	18	5	1
ORTHO04D000901	ORTHO04D000751	unk_TF	1	1	1	1	normal_1_42	normal_1_8	TRUE	22	3	18	3	18	3	1
ORTHO04D000901	ORTHO04D000524	unk_TF	1	3	1	2	normal_1_42	normal_2_103	FALSE	22	11	18	8	18	8	1
ORTHO04D000901	ORTHO04D000427	unk_TF	1	1	1	1	normal_1_42	normal_1_116	TRUE	22	13	18	9	18	9	1
ORTHO04D000901	ORTHO04D000420	unk_TF	1	1	1	1	normal_1_42	normal_1_118	TRUE	22	5	18	4	18	4	1
ORTHO04D000901	ORTHO04D000341	unk_TF	1	1	1	1	normal_1_42	normal_1_276	TRUE	22	64	18	43	18	43	1
ORTHO04D000901	ORTHO04D000272	unk_TF	1	3	1	2	normal_1_42	normal_2_31	FALSE	22	13	18	6	18	6	1
ORTHO04D000901	ORTHO04D000265	unk_TF	1	1	1	1	normal_1_42	normal_1_56	TRUE	22	11	18	12	18	12	1
ORTHO04D000901	ORTHO04D000260	unk_TF	1	1	1	1	normal_1_42	normal_1_155	TRUE	22	8	18	6	18	6	1
ORTHO04D000901	ORTHO04D000186	unk_TF	1	1	1	1	normal_1_42	normal_1_34	TRUE	22	10	18	7	18	7	1
ORTHO04D000901	ORTHO04D000126	unk_TF	1	1	1	1	normal_1_42	normal_1_192	TRUE	22	14	18	12	18	12	1
ORTHO04D000901	ORTHO04D000013	unk_TF	1	1	1	1	normal_1_42	normal_1_282	TRUE	22	24	18	16	18	16	1
MIR838	ORTHO04D004840	inh_ncRNA	1	1	1	1	normal_1_48	normal_1_127	TRUE	12	10	7	9	7	9	1
MIR838	ORTHO04D003380	inh_ncRNA	1	1	1	1	normal_1_48	normal_1_208	TRUE	12	40	7	28	7	28	1
MIR838	ORTHO04D003351	inh_ncRNA	1	1	1	1	normal_1_48	normal_1_209	TRUE	12	4	7	3	7	3	1
MIR838	ORTHO04D000454	inh_ncRNA	1	1	1	1	normal_1_48	normal_1_250	TRUE	12	18	7	12	7	12	1
MIR838	ORTHO04D000436	inh_ncRNA	1	1	1	1	normal_1_48	normal_1_115	TRUE	12	13	7	10	7	10	1
MIR838	ORTHO04D000289	inh_ncRNA	1	3	1	2	normal_1_48	normal_2_45	FALSE	12	50	7	25	7	25	1
MIR838	ORTHO04D000285	inh_ncRNA	1	3	1	2	normal_1_48	normal_2_34	FALSE	12	27	7	13	7	13	1
MIR838	ORTHO04D000078	inh_ncRNA	1	1	1	1	normal_1_48	normal_1_47	TRUE	12	13	7	7	7	7	1
MIR838	ORTHO04D000062	inh_ncRNA	1	2	1	4	normal_1_48	normal_4_179	FALSE	12	65	7	35	7	35	1
MIR838	ORTHO04D000054	inh_ncRNA	1	1	1	1	normal_1_48	normal_1_267	TRUE	12	21	7	13	7	13	1
MIR838	ORTHO04D000025	inh_ncRNA	1	2	1	4	normal_1_48	normal_4_184	FALSE	12	374	7	196	7	196	1
MIR838	ORTHO04D000011	inh_ncRNA	1	2	1	4	normal_1_48	normal_4_192	FALSE	12	153	7	98	7	98	1
ORTHO04D005406	ORTHO04D009237	unk_TF	1	1	1	1	normal_1_49	normal_1_61	TRUE	11	11	14	16	14	16	1
ORTHO04D005406	ORTHO04D005620	unk_TF	1	1	1	1	normal_1_49	normal_1_66	TRUE	11	5	14	4	14	4	1
ORTHO04D005406	ORTHO04D004031	unk_TF	1	1	1	1	normal_1_49	normal_1_70	TRUE	11	15	14	18	14	18	1
ORTHO04D005406	ORTHO04D001738	unk_TF	1	1	1	1	normal_1_49	normal_1_81	TRUE	11	12	14	13	14	13	1
ORTHO04D005406	ORTHO04D001207	unk_TF	1	3	1	2	normal_1_49	normal_2_117	FALSE	11	70	14	61	14	61	1
ORTHO04D005406	ORTHO04D000876	unk_TF	1	1	1	1	normal_1_49	normal_1_97	TRUE	11	11	14	10	14	10	1
ORTHO04D005406	ORTHO04D000471	unk_TF	1	1	1	1	normal_1_49	normal_1_136	TRUE	11	15	14	11	14	11	1
ORTHO04D005406	ORTHO04D000131	unk_TF	1	1	1	1	normal_1_49	normal_1_190	TRUE	11	23	14	16	14	16	1
ORTHO04D005406	ORTHO04D000066	unk_TF	1	1	1	1	normal_1_49	normal_1_244	TRUE	11	43	14	43	14	43	1
MIR831	ORTHO04D005406	inh_ncRNA	1	1	1	1	normal_1_50	normal_1_49	TRUE	5	11	2	14	2	14	1
MIR831	ORTHO04D002049	inh_ncRNA	1	2	1	4	normal_1_50	normal_4_103	FALSE	5	9	2	5	2	5	1
MIR831	ORTHO04D001658	inh_ncRNA	1	3	1	2	normal_1_50	normal_2_18	FALSE	5	37	2	27	2	27	1
MIR831	ORTHO04D001515	inh_ncRNA	1	1	1	1	normal_1_50	normal_1_87	TRUE	5	15	2	11	2	11	1
MIR831	ORTHO04D000025	inh_ncRNA	1	2	1	4	normal_1_50	normal_4_184	FALSE	5	374	2	196	2	196	1
MIR778	ORTHO04D000015	inh_ncRNA	3	3	2	2	normal_2_1	normal_2_107	TRUE	1	18	1	11	1	11	1
MIR5658	ORTHO04D001158	inh_ncRNA	1	2	1	4	normal_1_51	normal_4_177	FALSE	5	33	2	18	2	18	1
MIR5658	ORTHO04D000937	inh_ncRNA	1	1	1	1	normal_1_51	normal_1_182	TRUE	5	11	2	9	2	9	1
MIR5658	ORTHO04D000527	inh_ncRNA	1	3	1	2	normal_1_51	normal_2_81	FALSE	5	57	2	43	2	43	1
MIR5658	ORTHO04D000151	inh_ncRNA	1	3	1	2	normal_1_51	normal_2_106	FALSE	5	105	2	74	2	74	1
MIR5658	ORTHO04D000066	inh_ncRNA	1	1	1	1	normal_1_51	normal_1_244	TRUE	5	43	2	43	2	43	1
MIR5647	ORTHO04D000448	inh_ncRNA	2	2	4	4	normal_4_59	normal_4_137	TRUE	2	18	2	10	2	10	1
MIR5647	ORTHO04D000025	inh_ncRNA	2	2	4	4	normal_4_59	normal_4_184	TRUE	2	374	2	196	2	196	1
MIR5640	ORTHO04D000025	inh_ncRNA	2	2	4	4	normal_4_60	normal_4_184	TRUE	1	374	1	196	1	196	1
MIR419	ORTHO04D005254	inh_ncRNA	3	2	2	4	normal_2_2	normal_4_77	FALSE	3	13	2	10	2	10	1
MIR419	ORTHO04D000913	inh_ncRNA	3	3	2	2	normal_2_2	normal_2_118	TRUE	3	64	2	61	2	61	1
MIR419	ORTHO04D000527	inh_ncRNA	3	3	2	2	normal_2_2	normal_2_81	TRUE	3	57	2	43	2	43	1
MIR415	ORTHO04D002782	inh_ncRNA	1	2	1	4	normal_1_52	normal_4_61	FALSE	7	9	4	6	4	6	1
MIR415	ORTHO04D001628	inh_ncRNA	1	1	1	1	normal_1_52	normal_1_82	TRUE	7	5	4	4	4	4	1
MIR415	ORTHO04D000402	inh_ncRNA	1	3	1	2	normal_1_52	normal_2_104	FALSE	7	41	4	33	4	33	1
