Sotub01g031040	PGSC0003DMG400000002
Sotub01g031080	PGSC0003DMG400000004
Sotub01g031100	PGSC0003DMG400000005
Sotub01g031170	PGSC0003DMG400000008
Sotub01g031180	PGSC0003DMG400000009
Sotub01g031200	PGSC0003DMG400000010
Sotub01g031210	PGSC0003DMG400000011
Sotub01g031300	PGSC0003DMG400000012
Sotub01g031360	PGSC0003DMG400000013
Sotub01g031390	PGSC0003DMG400000014
Sotub01g031410	PGSC0003DMG400000015
Sotub01g031440	PGSC0003DMG400000016
Sotub01g031470	PGSC0003DMG400000017
Sotub01g031610	PGSC0003DMG400000021
Sotub01g031660	PGSC0003DMG400000023
Sotub01g031700	PGSC0003DMG400000025
Sotub01g031720	PGSC0003DMG400000027
Sotub01g031740	PGSC0003DMG400000028
Sotub01g031750	PGSC0003DMG400000028
Sotub01g031780	PGSC0003DMG400000030
Sotub01g031790	PGSC0003DMG400000031
Sotub01g031800	PGSC0003DMG400000032
Sotub01g031930	PGSC0003DMG400000038
Sotub01g031980	PGSC0003DMG400000039
Sotub01g031990	PGSC0003DMG400000040
Sotub01g032030	PGSC0003DMG400000042
Sotub01g032060	PGSC0003DMG400000043
Sotub01g032080	PGSC0003DMG400000045
Sotub01g032090	PGSC0003DMG400000046
Sotub01g032100	PGSC0003DMG400000047
Sotub01g032170	PGSC0003DMG400000049
Sotub01g032180	PGSC0003DMG400000050
Sotub01g032240	PGSC0003DMG400000052
Sotub01g032260	PGSC0003DMG400000053
Sotub01g032410	PGSC0003DMG400000059
Sotub01g032460	PGSC0003DMG400000062
Sotub01g032510	PGSC0003DMG400000063
Sotub01g032540	PGSC0003DMG400000064
Sotub01g032560	PGSC0003DMG400000065
Sotub01g032580	PGSC0003DMG400000066
Sotub01g032590	PGSC0003DMG400000067
Sotub01g032600	PGSC0003DMG400000068
Sotub01g032610	PGSC0003DMG400000069
Sotub01g032620	PGSC0003DMG400000070
Sotub01g032630	PGSC0003DMG400000071
Sotub01g032640	PGSC0003DMG400000072
Sotub01g032680	PGSC0003DMG400000073
Sotub01g032690	PGSC0003DMG400000074
Sotub01g032700	PGSC0003DMG400000075
Sotub01g032720	PGSC0003DMG400000077
Sotub01g032730	PGSC0003DMG400000078
Sotub01g032740	PGSC0003DMG400000078
Sotub01g032750	PGSC0003DMG400000079
Sotub01g032760	PGSC0003DMG400000080
Sotub01g032770	PGSC0003DMG400000081
Sotub01g032840	PGSC0003DMG400000084
Sotub01g032850	PGSC0003DMG400000085
Sotub01g032860	PGSC0003DMG400000086
Sotub01g032890	PGSC0003DMG400000087
Sotub01g032910	PGSC0003DMG400000088
Sotub01g032920	PGSC0003DMG400000089
Sotub01g032940	PGSC0003DMG400000090
Sotub01g032950	PGSC0003DMG400000091
Sotub01g032960	PGSC0003DMG400000092
Sotub01g033000	PGSC0003DMG400000093
Sotub01g033120	PGSC0003DMG400000098
Sotub01g033130	PGSC0003DMG400000099
Sotub01g033160	PGSC0003DMG400000101
Sotub01g033200	PGSC0003DMG400000103
Sotub01g033230	PGSC0003DMG400000104
Sotub01g033310	PGSC0003DMG400000106
Sotub01g033320	PGSC0003DMG400000107
Sotub01g033370	PGSC0003DMG400000110
Sotub01g033400	PGSC0003DMG400000112
Sotub01g033420	PGSC0003DMG400000113
Sotub01g033430	PGSC0003DMG400000114
Sotub01g033440	PGSC0003DMG400000115
Sotub01g033510	PGSC0003DMG400000118
Sotub01g033520	PGSC0003DMG400000119
Sotub01g033580	PGSC0003DMG400000121
Sotub01g033630	PGSC0003DMG400000123
Sotub01g033670	PGSC0003DMG400000124
Sotub01g033690	PGSC0003DMG400000125
Sotub01g033710	PGSC0003DMG400000126
Sotub01g033740	PGSC0003DMG400000127
Sotub01g033750	PGSC0003DMG400000127
Sotub01g033770	PGSC0003DMG400000128
Sotub01g033840	PGSC0003DMG400000129
Sotub01g033860	PGSC0003DMG400000130
Sotub01g031050	PGSC0003DMG400000131
Sotub01g031090	PGSC0003DMG400000132
Sotub01g031130	PGSC0003DMG400000134
Sotub01g031140	PGSC0003DMG400000135
Sotub01g031190	PGSC0003DMG400000136
Sotub01g031240	PGSC0003DMG400000138
Sotub01g031250	PGSC0003DMG400000139
Sotub01g031260	PGSC0003DMG400000140
Sotub01g031280	PGSC0003DMG400000142
Sotub01g031330	PGSC0003DMG400000144
Sotub01g031350	PGSC0003DMG400000145
Sotub01g031430	PGSC0003DMG400000145
Sotub01g031420	PGSC0003DMG400000146
Sotub01g031350	PGSC0003DMG400000147
Sotub01g031430	PGSC0003DMG400000147
Sotub01g031490	PGSC0003DMG400000148
Sotub01g031500	PGSC0003DMG400000149
Sotub01g031530	PGSC0003DMG400000151
Sotub01g031640	PGSC0003DMG400000152
Sotub01g031670	PGSC0003DMG400000154
Sotub01g031680	PGSC0003DMG400000155
Sotub01g031690	PGSC0003DMG400000156
Sotub01g031730	PGSC0003DMG400000157
Sotub01g031760	PGSC0003DMG400000158
Sotub01g031820	PGSC0003DMG400000159
PGSC0003DMG400000259	PGSC0003DMG400000160
Sotub01g031830	PGSC0003DMG400000161
Sotub01g031840	PGSC0003DMG400000162
Sotub01g031870	PGSC0003DMG400000164
Sotub01g031880	PGSC0003DMG400000165
