from,to,label
402,800,SUBSTRATE
402,891,ACTIVATES
986,437,PRODUCT
543,870,SUBSTRATE
870,543,PRODUCT
476,1178,ACTIVATES
476,1009,INHIBITS
476,863,ACTIVATES
476,868,ACTIVATES
476,869,ACTIVATES
476,870,ACTIVATES
800,402,PRODUCT
878,505,PRODUCT
587,875,ACTIVATES
587,878,ACTIVATES
587,986,ACTIVATES
1078,1280,PRODUCT
1178,437,PRODUCT
1152,868,INHIBITS
1152,869,INHIBITS
1152,870,INHIBITS
1152,462,ACTIVATES
1310,1311,PRODUCT
1153,863,ACTIVATES
1153,868,ACTIVATES
1153,869,ACTIVATES
1153,870,ACTIVATES
1153,891,ACTIVATES
971,1354,PRODUCT
376,401,PRODUCT
129,1310,SUBSTRATE
129,376,SUBSTRATE
407,891,SUBSTRATE
863,456,PRODUCT
456,1310,SUBSTRATE
456,863,SUBSTRATE
400,971,INHIBITS
400,800,ACTIVATES
501,869,SUBSTRATE
437,1178,SUBSTRATE
437,986,SUBSTRATE
438,462,ACTIVATES
869,501,PRODUCT
505,878,SUBSTRATE
505,376,SUBSTRATE
1081,1354,PRODUCT
1354,1081,SUBSTRATE
1354,875,SUBSTRATE
1354,971,SUBSTRATE
875,1354,PRODUCT
450,868,SUBSTRATE
868,450,PRODUCT
462,587,PRODUCT
891,407,PRODUCT
486,1078,ACTIVATES
486,462,SUBSTRATE
486,1009,SUBSTRATE
1009,486,PRODUCT
1280,1081,ACTIVATES
1280,1078,SUBSTRATE
537,462,SUBSTRATE
