geneID1	geneID2	reactionType	clusterID_geneID1	clusterID_geneID2	superClusterID_geneID1	superClusterID_geneID2	clusterOrigin_geneID1	clusterOrigin_geneID2	matchingClusters	networkSimplifiedNodeDegree_geneID1	networkSimplifiedNodeDegree_geneID2	superClusterSimplifiedNodeDegree_geneID1	superClusterSimplifiedNodeDegree_geneID2	clusterSimplifiedNodeDegree_geneID1	clusterSimplifiedNodeDegree_geneID2	exists
AT3G25070	AT3G07040	-	3	3	2	2	starNet_2_1	starNet_2_2	TRUE	8	11	6	9	6	9	1
AT3G25070	AT3G20600	-	3	3	2	2	starNet_2_1	starNet_2_17	TRUE	8	10	6	9	6	9	1
AT3G25070	AT1G72930	-	3	3	2	2	starNet_2_1	starNet_2_23	TRUE	8	7	6	7	6	7	1
AT3G07040	AT1G72930	-	3	3	2	2	starNet_2_2	starNet_2_23	TRUE	11	7	9	7	9	7	1
AT3G07040	AT1G64280	-	3	3	2	2	starNet_2_2	starNet_2_6	TRUE	11	92	9	47	9	47	1
AT5G05730	AT1G25220	-	2	2	1	1	normal_1_1	normal_1_2	TRUE	20	20	20	20	20	20	1
AT5G05730	AT1G24807	-	2	2	1	1	normal_1_1	normal_1_5	TRUE	20	20	20	20	20	20	1
AT5G05730	AT1G25155	-	2	2	1	1	normal_1_1	normal_1_7	TRUE	20	20	20	20	20	20	1
AT5G05730	AT1G48850	-	2	2	1	1	normal_1_1	normal_1_11	TRUE	20	20	20	20	20	20	1
AT5G05730	AT1G69370	-	2	2	1	1	normal_1_1	normal_1_10	TRUE	20	21	20	21	20	21	1
AT5G05730	AT3G29200	-	2	2	1	1	normal_1_1	normal_1_13	TRUE	20	23	20	23	20	23	1
AT5G05730	AT1G74710	-	2	2	1	1	normal_1_1	normal_1_25	TRUE	20	52	20	31	20	31	1
AT5G05730	AT1G18870	-	2	2	1	1	normal_1_1	normal_1_18	TRUE	20	29	20	29	20	29	1
AT5G05730	AT1G68890	-	2	2	1	1	normal_1_1	normal_1_17	TRUE	20	29	20	29	20	29	1
AT5G05730	AT2G24850	-	2	2	1	1	normal_1_1	normal_1_23	TRUE	20	29	20	29	20	29	1
AT5G05730	AT4G23600	-	2	2	1	1	normal_1_1	normal_1_22	TRUE	20	29	20	29	20	29	1
AT5G05730	AT4G28420	-	2	2	1	1	normal_1_1	normal_1_15	TRUE	20	29	20	29	20	29	1
AT5G05730	AT4G28410	-	2	2	1	1	normal_1_1	normal_1_16	TRUE	20	29	20	29	20	29	1
AT5G05730	AT4G23590	-	2	2	1	1	normal_1_1	normal_1_21	TRUE	20	29	20	29	20	29	1
AT5G05730	AT2G29690	-	2	2	1	1	normal_1_1	normal_1_3	TRUE	20	20	20	20	20	20	1
AT5G05730	AT3G55870	-	2	2	1	1	normal_1_1	normal_1_4	TRUE	20	20	20	20	20	20	1
AT1G25220	AT1G18870	-	2	2	1	1	normal_1_2	normal_1_18	TRUE	20	29	20	29	20	29	1
AT1G25220	AT1G24807	-	2	2	1	1	normal_1_2	normal_1_5	TRUE	20	20	20	20	20	20	1
AT1G25220	AT1G25155	-	2	2	1	1	normal_1_2	normal_1_7	TRUE	20	20	20	20	20	20	1
AT2G29690	AT1G25220	-	2	2	1	1	normal_1_3	normal_1_2	TRUE	20	20	20	20	20	20	1
AT2G29690	AT1G24807	-	2	2	1	1	normal_1_3	normal_1_5	TRUE	20	20	20	20	20	20	1
AT2G29690	AT1G25155	-	2	2	1	1	normal_1_3	normal_1_7	TRUE	20	20	20	20	20	20	1
AT2G29690	AT1G48850	-	2	2	1	1	normal_1_3	normal_1_11	TRUE	20	20	20	20	20	20	1
AT2G29690	AT1G69370	-	2	2	1	1	normal_1_3	normal_1_10	TRUE	20	21	20	21	20	21	1
AT2G29690	AT1G74710	-	2	2	1	1	normal_1_3	normal_1_25	TRUE	20	52	20	31	20	31	1
AT2G29690	AT1G18870	-	2	2	1	1	normal_1_3	normal_1_18	TRUE	20	29	20	29	20	29	1
AT2G29690	AT2G24850	-	2	2	1	1	normal_1_3	normal_1_23	TRUE	20	29	20	29	20	29	1
AT2G29690	AT1G68890	-	2	2	1	1	normal_1_3	normal_1_17	TRUE	20	29	20	29	20	29	1
AT3G55870	AT1G24807	-	2	2	1	1	normal_1_4	normal_1_5	TRUE	20	20	20	20	20	20	1
AT3G55870	AT1G25220	-	2	2	1	1	normal_1_4	normal_1_2	TRUE	20	20	20	20	20	20	1
AT3G55870	AT1G25155	-	2	2	1	1	normal_1_4	normal_1_7	TRUE	20	20	20	20	20	20	1
AT3G55870	AT1G48850	-	2	2	1	1	normal_1_4	normal_1_11	TRUE	20	20	20	20	20	20	1
AT3G55870	AT1G69370	-	2	2	1	1	normal_1_4	normal_1_10	TRUE	20	21	20	21	20	21	1
AT3G55870	AT3G29200	-	2	2	1	1	normal_1_4	normal_1_13	TRUE	20	23	20	23	20	23	1
AT3G55870	AT1G18870	-	2	2	1	1	normal_1_4	normal_1_18	TRUE	20	29	20	29	20	29	1
AT3G55870	AT1G74710	-	2	2	1	1	normal_1_4	normal_1_25	TRUE	20	52	20	31	20	31	1
AT3G55870	AT2G24850	-	2	2	1	1	normal_1_4	normal_1_23	TRUE	20	29	20	29	20	29	1
AT3G55870	AT1G68890	-	2	2	1	1	normal_1_4	normal_1_17	TRUE	20	29	20	29	20	29	1
AT3G55870	AT2G29690	-	2	2	1	1	normal_1_4	normal_1_3	TRUE	20	20	20	20	20	20	1
AT1G24807	AT1G18870	-	2	2	1	1	normal_1_5	normal_1_18	TRUE	20	29	20	29	20	29	1
AT5G03280	AT1G66340	-	3	3	2	2	starNet_2_3	starNet_2_4	TRUE	14	20	12	14	12	14	1
AT5G03280	AT3G20770	-	3	3	2	2	starNet_2_3	starNet_2_7	TRUE	14	8	12	7	12	7	1
AT5G03280	AT2G27050	-	3	3	2	2	starNet_2_3	starNet_2_14	TRUE	14	6	12	5	12	5	1
AT5G03280	AT3G23240	-	3	3	2	2	starNet_2_3	starNet_2_13	TRUE	14	6	12	6	12	6	1
