from	to	reactionType  shortName1	shortName2	geneID1	geneID2
AT3G25070	AT3G07040	-	RIN4	RPM1	AT3G25070	AT3G07040
AT5G05730	AT1G25220	-	ASA1	ASB1	AT5G05730	AT1G25220
AT2G29690	AT1G25220	-	ASA2	ASB1	AT2G29690	AT1G25220
AT3G55870	AT1G24807	-	AT3G55870	AT1G24807	AT3G55870	AT1G24807
AT2G29690	AT1G24807	-	ASA2	AT1G24807	AT2G29690	AT1G24807
AT5G03280	AT1G66340	-	EIN2	ETR1	AT5G03280	AT1G66340
AT5G06950	AT1G64280	-	AHBP-1B	NPR1	AT5G06950	AT1G64280
AT5G03280	AT3G20770	-	EIN2	EIN3	AT5G03280	AT3G20770
AT5G57890	AT2G29690	-	AT5G57890	ASA2	AT5G57890	AT2G29690
AT3G55870	AT1G25220	-	AT3G55870	ASB1	AT3G55870	AT1G25220
AT5G05730	AT1G24807	-	ASA1	AT1G24807	AT5G05730	AT1G24807
AT5G57890	AT3G55870	-	AT5G57890	AT3G55870	AT5G57890	AT3G55870
AT2G29690	AT1G25155	-	ASA2	AT1G25155.1	AT2G29690	AT1G25155
AT5G05730	AT1G25155	-	ASA1	AT1G25155.1	AT5G05730	AT1G25155
AT5G57890	AT5G05730	-	AT5G57890	ASA1	AT5G57890	AT5G05730
AT3G55870	AT1G25155	-	AT3G55870	AT1G25155.1	AT3G55870	AT1G25155
AT3G12250	AT1G64280	-	TGA6	NPR1	AT3G12250	AT1G64280
AT5G06960	AT1G64280	-	OBF5	NPR1	AT5G06960	AT1G64280
AT5G65210	AT1G64280	-	TGA1	NPR1	AT5G65210	AT1G64280
AT5G42650	AT3G45140	-	AOS	LOX2	AT5G42650	AT3G45140
AT3G23240	AT3G20770	-	ERF1	EIN3	AT3G23240	AT3G20770
AT5G03280	AT2G27050	-	EIN2	EIL1	AT5G03280	AT2G27050
AT3G20770	AT1G66340	-	EIN3	ETR1	AT3G20770	AT1G66340
AT1G64280	AT1G22070	-	NPR1	TGA3	AT1G64280	AT1G22070
AT1G77920	AT1G64280	-	TGA7	NPR1	AT1G77920	AT1G64280
AT3G25070	AT3G20600	-	RIN4	NDR1	AT3G25070	AT3G20600
AT2G22250	AT1G15710	-	AAT	AT1G15710	AT2G22250	AT1G15710
AT1G69370	AT1G48850	-	CM3	EMB1144	AT1G69370	AT1G48850
