#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RIN4	RPM1	129257	127313	3702.AT3G25070.1	3702.AT3G07040.1	0	0	0	0	0	0.746	0.800	0.993	0.999
ASA1	ASB1	136694	117833	3702.AT5G05730.2	3702.AT1G25220.2	0	0	0.523	0	0	0.842	0.900	0.902	0.999
ASA2	ASB1	124641	117833	3702.AT2G29690.1	3702.AT1G25220.2	0	0	0.524	0	0	0.842	0.900	0.765	0.998
AT3G55870	AT1G24807	131262	117813	3702.AT3G55870.1	3702.AT1G24807.1	0	0	0.524	0	0	0.842	0.900	0.771	0.998
ASA2	AT1G24807	124641	117813	3702.AT2G29690.1	3702.AT1G24807.1	0	0	0.524	0	0	0.842	0.900	0.685	0.997
EIN2	ETR1	136431	120872	3702.AT5G03280.1	3702.AT1G66340.1	0	0	0	0	0	0.746	0	0.987	0.996
AHBP-1B	NPR1	136821	120651	3702.AT5G06950.1	3702.AT1G64280.1	0	0	0	0	0	0.746	0.800	0.931	0.996
EIN2	EIN3	136431	128783	3702.AT5G03280.1	3702.AT3G20770.1	0	0	0	0	0	0	0.800	0.982	0.996
AT5G57890	ASA2	141468	124641	3702.AT5G57890.1	3702.AT2G29690.1	0	0	0.524	0	0	0.842	0.900	0.548	0.996
AT3G55870	ASB1	131262	117833	3702.AT3G55870.1	3702.AT1G25220.2	0	0	0.524	0	0	0.842	0.900	0.432	0.995
ASA1	AT1G24807	136694	117813	3702.AT5G05730.2	3702.AT1G24807.1	0	0	0.523	0	0	0.842	0.900	0.485	0.995
AT5G57890	AT3G55870	141468	131262	3702.AT5G57890.1	3702.AT3G55870.1	0	0	0.524	0	0	0.842	0.900	0.319	0.994
ASA2	AT1G25155.1	124641	117829	3702.AT2G29690.1	3702.AT1G25155.1	0	0	0.524	0	0	0.842	0.900	0.319	0.994
ASA1	AT1G25155.1	136694	117829	3702.AT5G05730.2	3702.AT1G25155.1	0	0	0.523	0	0	0.842	0.900	0.319	0.994
AT5G57890	ASA1	141468	136694	3702.AT5G57890.1	3702.AT5G05730.2	0	0	0.524	0	0	0.842	0.900	0.397	0.994
AT3G55870	AT1G25155.1	131262	117829	3702.AT3G55870.1	3702.AT1G25155.1	0	0	0.524	0	0	0.842	0.900	0.319	0.994
TGA6	NPR1	127828	120651	3702.AT3G12250.4	3702.AT1G64280.1	0	0	0	0	0	0.717	0.800	0.883	0.992
OBF5	NPR1	136822	120651	3702.AT5G06960.1	3702.AT1G64280.1	0	0	0	0	0	0.717	0.800	0.880	0.992
TGA1	NPR1	142244	120651	3702.AT5G65210.1	3702.AT1G64280.1	0	0	0	0	0	0.641	0.800	0.890	0.991
AOS	LOX2	139789	130116	3702.AT5G42650.1	3702.AT3G45140.1	0	0	0	0	0	0	0.900	0.911	0.990
ERF1	EIN3	129059	128783	3702.AT3G23240.1	3702.AT3G20770.1	0	0	0	0	0	0	0.800	0.952	0.990
EIN2	EIL1	136431	124368	3702.AT5G03280.1	3702.AT2G27050.1	0	0	0	0	0	0	0.800	0.922	0.983
EIN3	ETR1	128783	120872	3702.AT3G20770.1	3702.AT1G66340.1	0	0	0	0	0	0	0	0.982	0.982
