clade	geneID
4CLL	Sotub08g022010
4CLL	Sotub03g023910
4CLL	Sotub12g027780
4CLL	Sotub11g025890
AAO	PGSC0003DMC400012091
AAO	Sotub01g025190
AAO	Sotub11g023450
AAO	Sotub11g028000
AAO	Sotub11g028010
AAO	Sotub01g010090
AAO	Sotub11g028040
AAO	Sotub01g025220
AAO	Sotub11g023340
AAO	Sotub11g023430
AAO	Sotub11g027990
ACH	PGSC0003DMC400009507
ACH	Sotub09g016300
ACH	Sotub12g029340
ACO	Sotub02g024300
ACO	Sotub02g008310
ACO	Sotub11g013090
ACO	Sotub07g018790
ACO	Sotub07g018820
ACO	Sotub12g011800
ACO	Sotub06g017930
ACO	Sotub07g013910
ACS1,2,6	Sotub08g009730
ACS1,2,6	Sotub05g022350
ACS1,2,6	Sotub01g032520
ACS1,2,6	Sotub08g028890
ACS1,2,6	Sotub08g028870
ACS1,2,6	Sotub08g028880
ACS1,2,6	Sotub12g024100
ACS1,2,6	Sotub04g030350
ACS1,2,6	Sotub02g030480
ACS1,2,6	PGSC0003DMC400005972
ACS1,2,6	Sotub02g011290
ACS1,2,6	Sotub07g014010
ACS1,2,6	Sotub12g009910
ACS1,2,6	PGSC0003DMC400009660
ACS1,2,6	Sotub05g022360
ACS1,2,6	PGSC0003DMC400056274
ACS1,2,6	Sotub08g025460
ACS1,2,6	PGSC0003DMC400054039
ACX1,5	Sotub08g024120
ACX1,5	Sotub08g024130
ACX3,6	Sotub10g008540
ACX3,6	Sotub10g008610
ADT	Sotub06g031090
ADT	Sotub02g023790
ADT	Sotub11g029450
ADT	Sotub11g024700
AGO1,5,7,10	Sotub06g028680
AGO1,5,7,10	Sotub01g018640
AGO1,5,7,10	Sotub06g030960
AGO1,5,7,10	Sotub09g024320
AGO1,5,7,10	Sotub12g010550
AGO1,5,7,10	Sotub03g022990
AOC	Sotub02g028860
AOS	Sotub01g046460
AOS	Sotub01g046480
AOS	Sotub04g032980
AOS	Sotub11g026710
AOS	Sotub10g008380
AOS	Sotub01g046470
APX1,2	Sotub01g048890
APX1,2	PGSC0003DMC400052341
APX1,2	PGSC0003DMC400052356
APX1,2	Sotub02g026930
APX1,2	Sotub09g006730
APX3	Sotub01g048890
APX3	PGSC0003DMC400052341
APX3	PGSC0003DMC400052356
APX3	Sotub02g026930
APX3	Sotub09g006730
APX4	Sotub04g028420
APX5	Sotub01g048890
APX5	PGSC0003DMC400052356
APX5	PGSC0003DMC400052341
APX5	Sotub02g026930
APX5	Sotub09g006730
APX6	Sotub08g011590
ASK	Sotub11g019020
ASK	Sotub10g019250
ASK	Sotub10g019240
ASK	Sotub01g049060
ASK	Sotub11g012210
ASK	Sotub11g020070
ASK	Sotub12g019740
ASK	Sotub12g017090
ASK	Sotub01g049050
ASK	Sotub11g012410
ASK	Sotub11g012400
ASK	Sotub11g012420
ASK	Sotub11g012180
ASK	Sotub10g019220
ASK	Sotub12g019670
ASK	Sotub02g021880
ASK	Sotub02g011620
ASK	Sotub02g011590
ASK	Sotub12g019750
ASK	Sotub12g019760
ASK	Sotub11g020040
ASK	Sotub02g021920
ASK	Sotub03g025460
ASK	Sotub12g017110
ASK	Sotub02g021930
ASK	Sotub02g036060
ASK	Sotub02g021940
ASK	Sotub02g021870
ASK	Sotub02g021910
ASK	Sotub12g019680
ASK	Sotub02g021860
ASK	Sotub06g013890
ASK	Sotub12g019780
ATPB	PGSC0003DMC400056384
ATPB	Sotub01g011240
ATPB	Sotub04g006160
ATPB	Sotub05g009270
ATPB	Sotub02g029710
ATPB	Sotub01g011250
BG	Sotub01g017890
BG	Sotub01g017930
BG	Sotub10g021570
BG	Sotub02g036210
BG	PGSC0003DMC400004183
BG	PGSC0003DMC400004190
BG	Sotub01g009290
BG	PGSC0003DMC400018566
BG	Sotub01g009320
BG	Sotub01g009330
BG	Sotub03g014160
BG	Sotub04g016000
BG	Sotub11g023180
BG	Sotub03g014150
BG	Sotub01g009360
BG	Sotub01g017900
BG	PGSC0003DMC400052245
BG	Sotub01g017910
BG	Sotub04g014510
bHLH	Sotub08g029300
bHLH	PGSC0003DMC400022834
BIK1	PGSC0003DMC400030781
BIK1	PGSC0003DMC400033649
BIK1	Sotub06g021950
BIK1	Sotub07g008510
BIK1	Sotub07g016060
BIK1	Sotub07g015020
BIK1	Sotub08g013940
BIK1	Sotub11g021090
BIK1	Sotub04g035960
BIK1	Sotub10g018160
BIK1	Sotub05g011210
BIK1	Sotub01g017740
BIK1	Sotub12g023010
BIK1	Sotub08g019980
BIK1	Sotub03g008830
BIK1	Sotub01g049890
BIK1	Sotub09g009130
BIK1	Sotub02g009410
BIK1	Sotub10g024160
BIK1	Sotub05g020810
BIK1	PGSC0003DMC400007826
BIK1	Sotub04g010100
BIK1	Sotub01g015300
BIK1	Sotub12g008660
BIK1	Sotub01g009570
BIK1	Sotub02g035020
BIK1	Sotub01g017550
CAM4	Sotub11g028950
CAM4	Sotub06g016850
CAM4	Sotub10g019410
CAM4	PGSC0003DMC400039343
CAM4	Sotub03g022690
CAM4	PGSC0003DMC400069337
CAM4	PGSC0003DMC400036526
CAM4	Sotub03g005470
CAM4	Sotub01g042780
CAM4	Sotub05g014900
CAM4	PGSC0003DMC400009761
CAMTA	Sotub04g020530
CAMTA	PGSC0003DMC400056415
CAMTA	Sotub01g012330
CAT1,2,3	Sotub12g027890
CAT1,2,3	Sotub02g026140
CAT1,2,3	Sotub04g035910
CBP60G	Sotub01g038060
CLH	Sotub12g012590
CLH	Sotub06g016810
CLH	Sotub09g020390
CLH	Sotub09g024540
CM	Sotub02g034450
CM	Sotub11g013610
CML40	Sotub11g028220
CML40	Sotub11g028190
CML40	Sotub11g028200
CML40	Sotub11g028210
CML40	Sotub11g011120
CML40	Sotub02g037190
CML40	Sotub03g005260
CML42	Sotub10g018180
CO	Sotub02g033400
CO	PGSC0003DMC400017799
CO	Sotub07g005120
CO	Sotub08g007760
CO	Sotub12g028840
CO	Sotub12g017780
CO	PGSC0003DMC400011329
CO	Sotub01g014740
COI1	Sotub05g025280
CPK4,5,6,11	PGSC0003DMC400007870
CPK4,5,6,11	Sotub11g005050
CPK4,5,6,11	Sotub10g026370
CPK4,5,6,11	Sotub01g007410
CPK4,5,6,11	Sotub10g026480
CPK4,5,6,11	Sotub01g007290
CPK4,5,6,11	PGSC0003DMC400044117
CPK4,5,6,11	Sotub04g035300
CPK4,5,6,11	Sotub10g017440
CPK4,5,6,11	Sotub12g031760
CPK4,5,6,11	Sotub12g012910
CPK4,5,6,11	Sotub11g020700
CPK4,5,6,11	Sotub07g029220
CPK4,5,6,11	Sotub08g009670
CPK4,5,6,11	Sotub06g024400
CPK4,5,6,11	Sotub11g014830
CPK4,5,6,11	Sotub05g029790
CPK4,5,6,11	Sotub10g019340
CRT1,2	Sotub01g038210
CRT1,2	Sotub05g029430
CRT1,2	Sotub04g016930
CRT3	Sotub01g038210
CRT3	Sotub05g029430
CRT3	Sotub04g016930
CTR	PGSC0003DMC400050129
CTR	Sotub04g029180
CTR	Sotub10g022900
CTR	Sotub09g011220
CTR	Sotub10g025550
CTS	Sotub04g020700
CUL	Sotub01g037110
CUL	PGSC0003DMC400025917
CUL	Sotub01g021170
CUL	Sotub01g021260
CUL	Sotub01g021180
CUL	Sotub01g021200
CUL	Sotub06g035020
CUL	Sotub09g010050
CUL	Sotub09g022430
CUL	Sotub09g009950
CUL	Sotub09g010030
CUL	Sotub01g021280
CUL	Sotub10g012280
