ITAG.PGSC.ID	clade	geneID
Sotub08g022010	4CLL	CLCdnDe10_74468
Sotub03g023910	4CLL	PBdnRY1_4940
Sotub12g027780	4CLL	CLCdnPW11_4875
Sotub11g025890	4CLL	CLCdnDe13_7645
PGSC0003DMC400012091	AAO	VdnDe5_22102
Sotub01g025190	AAO	VdnDe5_22102
Sotub11g023450	AAO	CLCdnDe7_5403
Sotub11g028000	AAO	Sotub11g028010
Sotub11g028010	AAO	Sotub11g028010
Sotub01g010090	AAO	CLCdnDe5_24035
Sotub11g028040	AAO	Sotub11g028040
Sotub01g025220	AAO	Sotub01g025220
Sotub11g023340	AAO	Sotub11g023340
Sotub11g023430	AAO	Sotub11g023440
Sotub11g027990	AAO	Sotub11g027990
PGSC0003DMC400009507	ACH	CLCdnRY10_26917
Sotub09g016300	ACH	CLCdnDe6_14171
Sotub12g029340	ACH	Sotub12g029340
Sotub02g024300	ACO	CLCdnDe12_13561
Sotub02g008310	ACO	CLCdnDe6_67
Sotub11g013090	ACO	Sotub11g013090
Sotub07g018790	ACO	CLCdnRY11_18667
Sotub07g018820	ACO	CLCdnRY11_18667
Sotub12g011800	ACO	CLCdnDe7_47320
Sotub06g017930	ACO	CLCdnDe14_144860
Sotub07g013910	ACO	VdnDe2_279243
Sotub08g009730	ACS1,2,6	VdnPW2_99517
Sotub05g022350	ACS1,2,6	TDe_comp106034_c0_seq4
Sotub01g032520	ACS1,2,6	CLCdnDe5_70799
Sotub08g028890	ACS1,2,6	VdnDe2_194754
Sotub08g028870	ACS1,2,6	VdnDe2_194754
Sotub08g028880	ACS1,2,6	VdnDe2_194754
Sotub12g024100	ACS1,2,6	Sotub12g024100
Sotub04g030350	ACS1,2,6	Sotub04g030350
Sotub02g030480	ACS1,2,6	Sotub02g030480
PGSC0003DMC400005972	ACS1,2,6	Sotub02g011290
Sotub02g011290	ACS1,2,6	Sotub02g011290
Sotub07g014010	ACS1,2,6	Sotub07g014010
Sotub12g009910	ACS1,2,6	Sotub12g009910
PGSC0003DMC400009660	ACS1,2,6	PGSC0003DMC400009660
Sotub05g022360	ACS1,2,6	Sotub05g022360
PGSC0003DMC400056274	ACS1,2,6	PGSC0003DMC400056274
Sotub08g025460	ACS1,2,6	CLCdnDe2_3276
