OCD	geneID
OCD_INPDsPGSCs_000001	AT1G35710
OCD_INPDsPGSCs_000001	AT1G45616
OCD_INPDsPGSCs_000001	AT1G47890
OCD_INPDsPGSCs_000001	AT1G71390
OCD_INPDsPGSCs_000001	AT1G71400
OCD_INPDsPGSCs_000001	AT2G15042
OCD_INPDsPGSCs_000001	AT2G15080
OCD_INPDsPGSCs_000001	AT2G25440
OCD_INPDsPGSCs_000001	AT2G32660
OCD_INPDsPGSCs_000001	AT2G32680
OCD_INPDsPGSCs_000001	AT2G33020
OCD_INPDsPGSCs_000001	AT2G33050
OCD_INPDsPGSCs_000001	AT2G33060
OCD_INPDsPGSCs_000001	AT2G33080
OCD_INPDsPGSCs_000001	AT3G05360
OCD_INPDsPGSCs_000001	AT3G05370
OCD_INPDsPGSCs_000001	AT3G05650
OCD_INPDsPGSCs_000001	AT3G05660
OCD_INPDsPGSCs_000001	AT3G11010
OCD_INPDsPGSCs_000001	AT3G11080
OCD_INPDsPGSCs_000001	AT3G23010
OCD_INPDsPGSCs_000001	AT3G23110
OCD_INPDsPGSCs_000001	AT3G23120
OCD_INPDsPGSCs_000001	AT3G24900
OCD_INPDsPGSCs_000001	AT3G24982
OCD_INPDsPGSCs_000001	AT3G25010
OCD_INPDsPGSCs_000001	AT3G25020
OCD_INPDsPGSCs_000001	AT3G28890
OCD_INPDsPGSCs_000001	AT4G08850
OCD_INPDsPGSCs_000001	AT4G13810
OCD_INPDsPGSCs_000001	AT4G13820
OCD_INPDsPGSCs_000001	AT4G13880
OCD_INPDsPGSCs_000001	AT4G13920
OCD_INPDsPGSCs_000001	AT5G25910
OCD_INPDsPGSCs_000001	AT5G27060
OCD_INPDsPGSCs_000001	AT5G40170
OCD_INPDsPGSCs_000001	PGSC0003DMC400003276
OCD_INPDsPGSCs_000001	PGSC0003DMC400003278
OCD_INPDsPGSCs_000001	PGSC0003DMC400003279
OCD_INPDsPGSCs_000001	PGSC0003DMC400003280
OCD_INPDsPGSCs_000001	PGSC0003DMC400003283
OCD_INPDsPGSCs_000001	PGSC0003DMC400005181
OCD_INPDsPGSCs_000001	PGSC0003DMC400005202
