athID	stuNo	stuIDs	nodeID	pantrID
AT1G01020	1	CLCdnDe12_66403	AT1G01020	CLCdnDe12_66403
AT1G01030	1	VdnDe1_20366	AT1G01030	VdnDe1_20366
AT1G01040	1	VdnDe2_53141	AT1G01040	VdnDe2_53141
AT1G01050	2	SdnRY1_26967|CLCdnDe11_119950	AT1G01050	SdnRY1_26967
AT1G01050	2	SdnRY1_26967|CLCdnDe11_119950	AT1G01050	CLCdnDe11_119950
AT1G01060	2	CLCdnPW50_42499|PGSC0003DMP400020008	AT1G01060	PGSC0003DMC400020008
AT1G01060	2	CLCdnPW50_42499|PGSC0003DMP400020008	AT1G01060	CLCdnPW50_42499
AT1G01090	2	TPW_comp68581_c0_seq2|VdnDe1_6913	AT1G01090	VdnDe1_6913
AT1G01090	2	TPW_comp68581_c0_seq2|VdnDe1_6913	AT1G01090	TPW_comp68581_c0_seq2
AT1G01110	3	CLCdnPW47_37383|CLCdnDe5_15084|CLCdnDe11_89093	AT1G01110	CLCdnPW47_37383
AT1G01110	3	CLCdnPW47_37383|CLCdnDe5_15084|CLCdnDe11_89093	AT1G01110	CLCdnDe5_15084
AT1G01110	3	CLCdnPW47_37383|CLCdnDe5_15084|CLCdnDe11_89093	AT1G01110	CLCdnDe11_89093
AT1G01120	1	SdnRY1_10805	AT1G01120	SdnRY1_10805
AT1G01140	1	Sotub05g021930.1.1	AT1G01140	Sotub05g021930
AT1G01180	1	CLCdnPW47_94959	AT1G01180	CLCdnPW47_94959
AT1G01200	1	TDe_comp109378_c0_seq3	AT1G01200	TDe_comp109378_c0_seq3
AT1G01220	1	SdnRY1_1393	AT1G01220	SdnRY1_1393
AT1G01225	1	CLCdnDe2_34447	AT1G01225	CLCdnDe2_34447
AT1G01230	1	VdnPW1_121979	AT1G01230	VdnPW1_121979
AT1G01250	2	CLCdnPW50_18575|CLCdnDe5_78199	AT1G01250	CLCdnPW50_18575
AT1G01250	2	CLCdnPW50_18575|CLCdnDe5_78199	AT1G01250	CLCdnDe5_78199
AT1G01260	2	CLCdnPW5_21085|CLCdnPW14_28456	AT1G01260	CLCdnPW5_21085
AT1G01260	2	CLCdnPW5_21085|CLCdnPW14_28456	AT1G01260	CLCdnPW14_28456
AT1G01280	1	PGSC0003DMP400032896	AT1G01280	PGSC0003DMC400032896
AT1G01290	1	CLCdnDe3_23105	AT1G01290	CLCdnDe3_23105
AT1G01300	2	PBdnRY1_1780|CLCdnDe12_39899	AT1G01300	PBdnRY1_1780
AT1G01300	2	PBdnRY1_1780|CLCdnDe12_39899	AT1G01300	CLCdnDe12_39899
AT1G01320	2	VdnDe4_5536|CLCdnRY11_14409	AT1G01320	VdnDe4_5536
AT1G01320	2	VdnDe4_5536|CLCdnRY11_14409	AT1G01320	CLCdnRY11_14409
AT1G01350	2	Sotub02g025470.1.1|CLCdnDe10_1980	AT1G01350	Sotub02g025470
AT1G01350	2	Sotub02g025470.1.1|CLCdnDe10_1980	AT1G01350	CLCdnDe10_1980
AT1G01360	1	PBdnRY1_10766	AT1G01360	PBdnRY1_10766
AT1G01370	2	PBdnRY1_1769|PGSC0003DMP400000455	AT1G01370	PGSC0003DMC400000455
AT1G01370	2	PBdnRY1_1769|PGSC0003DMP400000455	AT1G01370	PBdnRY1_1769
AT1G01430	1	VdnDe2_89877	AT1G01430	VdnDe2_89877
AT1G01490	2	VdnDe7_8829|SdnRY1_33665	AT1G01490	VdnDe7_8829
AT1G01490	2	VdnDe7_8829|SdnRY1_33665	AT1G01490	SdnRY1_33665
AT1G01500	2	CLCdnDe11_31821|SdnPW1_10588	AT1G01500	SdnPW1_10588
AT1G01500	2	CLCdnDe11_31821|SdnPW1_10588	AT1G01500	CLCdnDe11_31821
AT1G01510	2	CLCdnDe13_16571|CLCdnPW10_87800	AT1G01510	CLCdnPW10_87800
AT1G01510	2	CLCdnDe13_16571|CLCdnPW10_87800	AT1G01510	CLCdnDe13_16571
AT1G01540	2	CLCdnPW12_5557|TPW_comp67888_c0_seq2	AT1G01540	TPW_comp67888_c0_seq2
AT1G01540	2	CLCdnPW12_5557|TPW_comp67888_c0_seq2	AT1G01540	CLCdnPW12_5557
