ID1	ID2	type	node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	exists
AT5G61210	AT1G04750	-	SNAP33	VAMP721	141815	115697	3702.AT5G61210.1	3702.AT1G04750.1	0	0	0	0	0	0.906	0	0.992	0.999	0.25
AT5G57160	AT1G48050	-	ATLIG4	KU80	141386	119134	3702.AT5G57160.1	3702.AT1G48050.1	0	0	0	0	0.108	0.955	0.932	0.986	0.999	0.5
AT4G19710	AT1G31230	-	AKHSDH2	AKHSDH1	133986	118396	3702.AT4G19710.2	3702.AT1G31230.1	0.643	0	0.527	0.983	0.938	0.955	0.856	0.991	0.999	0.75
AT5G61210	AT3G11820	-	SNAP33	SYP121	141815	127780	3702.AT5G61210.1	3702.AT3G11820.1	0	0	0	0	0.901	0.998	0	0.991	0.999	1
AT5G56580	AT1G07880	-	MKK6	ATMPK13	141324	116033	3702.AT5G56580.1	3702.AT1G07880.2	0	0	0.393	0.652	0	0.999	0	0.977	0.999	0.25
AT4G01370	AT3G18690	-	MPK4	MKS1	132226	128557	3702.AT4G01370.1	3702.AT3G18690.1	0	0	0	0	0	0.987	0	0.949	0.999	0.5
AT2G43790	AT1G71860	-	MPK6	PTP1	126169	121444	3702.AT2G43790.1	3702.AT1G71860.1	0	0	0	0	0.137	0.96	0	0.976	0.999	0.75
AT4G26070	AT4G08500	-	MEK1	MEKK1	134674	132730	3702.AT4G26070.2	3702.AT4G08500.1	0	0	0	0.705	0	0.998	0.901	0.949	0.999	1
AT4G26070	AT4G01370	-	MEK1	MPK4	134674	132226	3702.AT4G26070.2	3702.AT4G01370.1	0	0	0.333	0.651	0.114	0.999	0.8	0.994	0.999	0.25
AT5G58180	AT5G26980	-	ATYKT62	SYP41	141499	138769	3702.AT5G58180.1	3702.AT5G26980.1	0	0	0	0	0	0.984	0	0.985	0.999	0.5
AT5G61210	AT2G33120	-	SNAP33	VAMP722	141815	125015	3702.AT5G61210.1	3702.AT2G33120.2	0	0	0	0	0.318	0.906	0	0.99	0.999	0.75
AT5G56580	AT4G01370	-	MKK6	MPK4	141324	132226	3702.AT5G56580.1	3702.AT4G01370.1	0	0	0.347	0.653	0	0.995	0.8	0.926	0.999	1
AT4G29810	AT4G01370	-	MKK2	MPK4	135082	132226	3702.AT4G29810.2	3702.AT4G01370.1	0	0	0.358	0.67	0.26	0.998	0.8	0.958	0.999	0.25
AT4G26080	AT1G78290	-	ABI1	SNRK2-8	134675	122108	3702.AT4G26080.1	3702.AT1G78290.2	0.642	0	0	0	0	0.999	0.8	0.401	0.999	0.5
AT3G06110	AT2G43790	-	MKP2	MPK6	127212	126169	3702.AT3G06110.2	3702.AT2G43790.1	0	0	0	0	0	0.911	0.9	0.977	0.999	0.75
AT5G16830	AT3G56190	-	SYP21	ASNAP2	137781	131294	3702.AT5G16830.1	3702.AT3G56190.1	0	0	0	0	0	0.986	0	0.889	0.998	1
AT5G58060	AT5G26980	-	YKT61	SYP41	141487	138769	3702.AT5G58060.2	3702.AT5G26980.1	0	0	0	0	0	0.984	0	0.893	0.998	0.25
AT3G45640	AT3G06110	-	MPK3	MKP2	130168	127212	3702.AT3G45640.1	3702.AT3G06110.2	0	0	0	0	0	0.911	0.9	0.891	0.998	0.5
AT3G55270	AT2G43790	-	MKP1	MPK6	131195	126169	3702.AT3G55270.1	3702.AT2G43790.1	0	0	0	0	0.129	0.919	0	0.976	0.998	0.75
AT5G61210	AT3G52400	-	SNAP33	SYP122	141815	130890	3702.AT5G61210.1	3702.AT3G52400.1	0	0	0	0	0.874	0.811	0	0.932	0.998	1
AT5G15950	AT1G23820	-	AT5G15950	SPDS1	137688	117717	3702.AT5G15950.1	3702.AT1G23820.1	0	0	0	0	0.068	0	0.926	0.964	0.997	0.25
AT3G18690	AT2G38470	-	MKS1	WRKY33	128557	125595	3702.AT3G18690.1	3702.AT2G38470.1	0	0	0	0	0.478	0.99	0	0.544	0.997	0.5
AT5G19530	AT5G18930	-	ACL5	BUD2	138075	138007	3702.AT5G19530.1	3702.AT5G18930.1	0	0	0	0	0.205	0	0.926	0.948	0.996	0.75
AT3G02470	AT1G23820	-	SAMDC	SPDS1	126799	117717	3702.AT3G02470.1	3702.AT1G23820.1	0	0	0	0	0.068	0	0.926	0.95	0.996	1
AT5G18930	AT1G23820	-	BUD2	SPDS1	138007	117717	3702.AT5G18930.1	3702.AT1G23820.1	0	0	0	0	0.068	0	0.926	0.949	0.996	0.25
AT5G54260	AT1G48050	-	MRE11	KU80	141074	119134	3702.AT5G54260.1	3702.AT1G48050.1	0	0	0	0	0.117	0.959	0	0.915	0.996	0.5
AT4G01370	AT1G71860	-	MPK4	PTP1	132226	121444	3702.AT4G01370.1	3702.AT1G71860.1	0	0	0	0	0	0.824	0	0.979	0.996	0.75
AT5G15950	AT1G70310	-	AT5G15950	SPDS2	137688	121293	3702.AT5G15950.1	3702.AT1G70310.1	0	0	0	0	0.068	0	0.926	0.95	0.996	1
AT5G19530	AT3G02470	-	ACL5	SAMDC	138075	126799	3702.AT5G19530.1	3702.AT3G02470.1	0	0	0	0	0.068	0	0.926	0.95	0.996	0.25
AT4G04910	AT3G56190	-	NSF	ASNAP2	132566	131294	3702.AT4G04910.1	3702.AT3G56190.1	0	0	0	0	0.083	0.951	0	0.926	0.996	0.5
AT3G45640	AT2G38470	-	MPK3	WRKY33	130168	125595	3702.AT3G45640.1	3702.AT2G38470.1	0	0	0	0	0.94	0	0	0.941	0.996	0.75
AT5G19530	AT5G15950	-	ACL5	AT5G15950	138075	137688	3702.AT5G19530.1	3702.AT5G15950.1	0	0	0	0	0.068	0	0.926	0.949	0.996	1
AT3G06110	AT2G46070	-	MKP2	MPK12	127212	126407	3702.AT3G06110.2	3702.AT2G46070.1	0	0	0	0	0	0.565	0.9	0.918	0.996	0.25
AT2G43790	AT1G10210	-	MPK6	MPK1	126169	116288	3702.AT2G43790.1	3702.AT1G10210.1	0	0	0.526	0.963	0	0.953	0.9	0.97	0.995	0.5
AT5G53120	AT3G25570	-	SPDS3	AT3G25570	140944	129302	3702.AT5G53120.6	3702.AT3G25570.1	0	0	0	0	0.068	0	0.926	0.935	0.995	0.75
